Year,Match,Innings,NotOuts,100s,50s,0s,Highest,Runs,Average,Strike_Rate,CatchesTaken
2008,5,5,0,0,1,0,54,159,31.80,67,3
2009,10,8,2,1,2,0,107,325,54.17,84,4
2010,25,24,3,3,7,3,118,995,47.38,85,9
2011,34,34,5,4,8,2,117,1381,47.62,86,19
2012,17,17,2,5,3,1,183,1026,68.40,94,14
2013,34,30,6,4,7,3,115*,1268,52.83,98,11
2014,21,20,2,4,5,1,139*,1054,58.56,100,8
2015,20,20,3,2,1,0,138,623,36.65,81,11
2016,10,10,2,3,4,0,154*,739,92.38,100,6
2017,26,26,7,6,7,2,131,1460,76.84,99,9
2018,14,14,5,6,3,0,160*,1202,133.56,103,9
2019,26,25,2,5,7,1,123,1377,59.87,96,21
2020,9,9,0,0,5,0,89,431,47.89,92,5
2021,3,3,0,0,2,0,66,129,43.00,87,3
2022,6,6,0,0,2,2,65,142,23.67,76,5
Overall (15),260,251,39,43,64,15,183,12311,58.07,93,137
